,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash
2018-01-22 01:05:00.000,11580.8,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 01:10:00.000,11581.28,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 01:15:00.000,11517.9,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 01:20:00.000,11449.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-22 01:25:00.000,11502.25,0.0,11502.25,-1.0,0,0.029757758825983638,232.4599999999864,14047.869999999986
2018-01-22 01:30:00.000,11499.91,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 01:35:00.000,11480.98,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 01:40:00.000,11393.98,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 01:45:00.000,11388.730000000001,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 01:50:00.000,11393.3,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 01:55:00.000,11370.38,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:00:00.000,11272.58,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:05:00.000,11310.0,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:10:00.000,11288.39,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:15:00.000,11276.97,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:20:00.000,11250.0,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:25:00.000,11191.09,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:30:00.000,11341.79,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:35:00.000,11374.76,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:40:00.000,11500.0,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:45:00.000,11475.03,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:50:00.000,11500.0,0.0,0.0,0.0,0,0.0,232.4599999999864,14047.869999999986
2018-01-22 02:55:00.000,11521.849999999999,1.0,-11521.849999999999,1.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:00:00.000,11460.210000000001,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:05:00.000,11380.17,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:10:00.000,11440.76,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:15:00.000,11406.630000000001,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:20:00.000,11365.01,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:25:00.000,11387.19,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:30:00.000,11457.98,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:35:00.000,11499.97,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:40:00.000,11424.88,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:45:00.000,11423.01,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:50:00.000,11459.03,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 03:55:00.000,11502.93,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:00:00.000,11575.16,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:05:00.000,11604.99,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:10:00.000,11669.93,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:15:00.000,11650.0,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:20:00.000,11630.66,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:25:00.000,11713.76,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:30:00.000,11645.0,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:35:00.000,11623.44,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:40:00.000,11642.02,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:45:00.000,11633.55,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:50:00.000,11599.99,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 04:55:00.000,11599.91,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 05:00:00.000,11530.0,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 05:05:00.000,11444.0,1.0,0.0,0.0,0,0.0,-11289.390000000012,2526.0199999999877
2018-01-22 05:10:00.000,11500.0,0.0,11500.0,-1.0,0,-0.0018963968459925207,210.60999999998785,14026.019999999988
2018-01-22 05:15:00.000,11550.52,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:20:00.000,11530.62,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:25:00.000,11500.97,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:30:00.000,11532.61,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:35:00.000,11519.56,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:40:00.000,11502.12,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:45:00.000,11437.25,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:50:00.000,11494.96,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 05:55:00.000,11470.0,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 06:00:00.000,11470.0,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 06:05:00.000,11499.96,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
2018-01-22 06:10:00.000,11528.0,0.0,0.0,0.0,0,0.0,210.60999999998785,14026.019999999988
